¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ı(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57774
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69036
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80697
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92766
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05261
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58779
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.15662
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.064297
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.197307
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.333422
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.476245
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.626689
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785302
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.952764
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.134391
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.3318
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.932158
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35726
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10474
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83603
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3466
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95039
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06488
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16575
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27012
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37659
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4819
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59091
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70381
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82064
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9416
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06682
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99952
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.13928
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.09746
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231617
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.369036
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513637
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.665963
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.826652
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997572
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186542
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.387076
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.774269
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38606
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12021
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84545
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3569
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97384
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07136
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17228
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2768
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38502
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49674
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60605
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71918
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83629
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95752
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08306
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.31545
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.12412
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131269
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.266253
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405365
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551786
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706086
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.868896
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.047997
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239869
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443626
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.799591
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41471
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13511
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85541
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38258
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98187
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07946
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18059
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28524
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39359
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50576
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.6219
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73647
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85392
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97549
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10135
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83501
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.12606
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.165735
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.301572
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.442423
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.590753
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.747072
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.91572
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.099466
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.294418
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.650223
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.824791
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44327
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14939
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86596
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41084
ÿ(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99155
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08935
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19062
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29547
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40398
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51636
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63265
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75307
(335.08, 7.42, 351.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87352
