¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Á(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02663
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.87912
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.79479
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.88622
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.97737
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.0689
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.16409
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.26303
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.64295
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.410334
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.890058
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.456043
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0936
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41174
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75226
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26182
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80074
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95752
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.69279
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32292
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.20997
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.16991
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.76347
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.73256
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.70469
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.33459
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.17404
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02142
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.87398
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.75632
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.8473
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.93548
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.02655
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.12126
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.21971
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.54241
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.423246
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.904552
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.474522
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09915
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41767
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75861
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.29139
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.90832
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31697
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77401
(380.65, 14.65, 268.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.39762
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.27333
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.30468
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.17143
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.28922
Ã(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.41465
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.32963
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.17167
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.01908
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.87168
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.72929
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.80928
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.89635
(380.65, 14.65, 268.85) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.98698
