¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.529
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.819533
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.13976
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.485605
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.890541
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67465
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.3952
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.94934
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.92499
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.9025
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.88187
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.86308
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.84611
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.83096
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.81761
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.80604
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.79626
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.78825
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.78201
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.77753
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.77482
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.77386
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.77466
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.77722
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.78154
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.109615
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.385938
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.642592
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.849985
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.070171
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.304335
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.553802
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.82009
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.104887
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.434118
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.804391
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64375
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 11.4958
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.7506
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.7266
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.70444
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.68411
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.66559
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.64886
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.63391
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.62074
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.60932
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.59966
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.59174
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.58556
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.58111
Ï(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.57839
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.57741
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.57815
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.58062
(406.21, 14.02, 246.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 11.58483
