¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.43232
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.852684
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.060241
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.723349
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982768
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264115
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570304
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.904634
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.271127
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.67466
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.121029
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.617306
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17391
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84861
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57685
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93616
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83412
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11015
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.70205
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.54472
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.851943
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.059443
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.28317
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.981546
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262787
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.568858
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903054
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.26941
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.67276
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.118913
(437.68, 13.90, 290.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.614979
