¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ş(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660857
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.708402
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.757677
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.818253
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.907294
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.999573
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095282
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194532
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.297482
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404387
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.515309
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.605759
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.687193
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771529
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858873
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.949317
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.042981
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20327
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05073
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.87557
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.522284
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.755532
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007223
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.279544
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432142
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.470345
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.510037
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551284
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.594145
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638647
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684815
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.732728
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.782387
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.833874
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.887219
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.956689
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051263
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149362
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251085
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.356688
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.466291
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.579649
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.660612
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.74439
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.831145
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.920994
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.01406
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91797
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.76586
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.7072
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.522791
€(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756149
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.007882
(383.95, 6.80, 353.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.280253
