¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ß(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.40938
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.909432
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.167456
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446624
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755823
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.057116
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.387739
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.748001
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.147331
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.604469
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11124
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53729
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.55713
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.01935
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.26056
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.69557
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.36508
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.888427
(373.55, 9.62, 324.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144744
