¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€ (389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.318141
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.329947
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.342603
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.356121
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.370513
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.385787
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.805592
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.795024
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.823054
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.852345
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.882918
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.969757
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.896
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3732
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81431
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29291
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99312
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.96165
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.94564
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.93249
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.92217
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.91469
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.91003
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.346307
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.357605
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.369754
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.382763
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.396642
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.411406
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.9248
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.838261
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.823033
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.851382
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.881001
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.911911
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.955753
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85297
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35853
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79844
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27574
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99997
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.05353
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.03751
(389.98, 13.82, 251.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.02435
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.386689
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.398337
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.410845
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.424222
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.43848
(389.98, 13.82, 251.64) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.453629
(389.98, 13.82, 251.64) (374.76, 7.69, 268.09) (0.76, 0.67, 3.99) Tools 6.967472
