¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16759
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80754
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53003
(338.32, 7.72, 340.09) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 11.21364
(338.32, 7.72, 340.09) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 11.19119
(338.32, 7.72, 340.09) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 11.1705
(338.32, 7.72, 340.09) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 11.15154
(338.32, 7.72, 340.09) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 11.13431
(338.32, 7.72, 340.09) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 11.11879
(338.32, 7.72, 340.09) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 11.10497
(338.32, 7.72, 340.09) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 11.21664
(338.32, 7.72, 340.09) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 11.58252
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.198356
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.344471
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.499891
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.665473
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.842212
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.031332
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.234038
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.451816
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.686437
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.939825
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.214263
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.512487
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837654
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.193542
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.584599
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.016272
(338.32, 7.72, 340.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.495139
