¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¹(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.59204
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.68454
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.76519
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.450097
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.946154
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.514995
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.821961
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12771
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.52217
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99037
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8773
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91454
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27316
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81569
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48243
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.51061
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.38552
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.35679
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.33074
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.30735
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.65535
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.4994
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.35493
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.27411
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.36239
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.4542
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.54289
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.63483
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.73041
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.464046
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.963841
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.534332
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.826042
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13206
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54744
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01804
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.09347
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98459
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35214
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.88774
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.56807
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.60833
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.1503
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.1196
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.09183
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.80205
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.6395
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.48905
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.34474
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.23172
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.31952
Ä(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.40864
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.49653
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.58796
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.68299
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.54705
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.478166
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.980741
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.543432
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.830398
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13671
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57277
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04578
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30761
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.05915
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43006
(380.59, 14.73, 269.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95889
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.81252
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.60641
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.20293
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.17218
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.14437
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.78886
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.63078
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.48151
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.33731
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.19802
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.2793
(380.59, 14.73, 269.45) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.36551
