¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16075
(337.36, 7.16, 320.85) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 18.97834
(337.36, 7.16, 320.85) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 18.95105
(337.36, 7.16, 320.85) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 19.01238
(337.36, 7.16, 320.85) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.46886
(337.36, 7.16, 320.85) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.61161
(337.36, 7.16, 320.85) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.63815
(337.36, 7.16, 320.85) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.58968
(337.36, 7.16, 320.85) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.40029
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.008498
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.352376
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.636196
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.944001
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278996
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.644786
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.017191
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.387527
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.79106
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23248
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71724
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.213
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74033
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32165
(337.36, 7.16, 320.85) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 12.1955
(337.36, 7.16, 320.85) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 11.86152
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23101
(337.36, 7.16, 320.85) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 18.97051
(337.36, 7.16, 320.85) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 18.94322
(337.36, 7.16, 320.85) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 19.00127
(337.36, 7.16, 320.85) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 19.21859
(337.36, 7.16, 320.85) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.5464
(337.36, 7.16, 320.85) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.54103
(337.36, 7.16, 320.85) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.53813
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.758356
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345833
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629069
(337.36, 7.16, 320.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.936295
