¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
–(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41901
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2159
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.974
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40627
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.396082
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.473924
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.555961
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.642522
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.733975
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.830725
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.933225
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.04198
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.157559
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.2806
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.411824
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.55205
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.702206
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.863357
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.036726
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.22372
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.425973
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.645398
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.380743
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.663626
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9739
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315572
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.693699
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114308
(352.21, 8.99, 315.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.584898
