¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52174
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50723
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07626
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84918
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.48202
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.589456
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.702887
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.822804
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.949756
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.084352
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.227108
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.378664
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.536432
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.704611
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.884234
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.076473
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.282666
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.50435
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.743011
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.000924
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.28048
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.584471
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.428124
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.814993
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.240523
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.710697
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23297
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81627
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47189
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2141
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83603
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51344
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58059
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03583
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.75413
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.480938
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.588315
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.701685
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.821536
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.948415
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.082932
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.225509
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.376141
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.533749
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.701754
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.881185
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.073212
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.279173
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.50052
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.738873
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.996454
¶(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.275637
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.579206
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.910442
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.808276
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.233141
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.702558
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2239
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8061
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46048
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20114
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83021
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50705
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65679
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99803
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66308
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.480036
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.587366
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.700683
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.820478
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.947296
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.081704
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.224162
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.373897
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.531363
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.699215
(355.04, 9.28, 317.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.878475
