¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.266938
(336.83, 7.62, 327.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.33721
(336.83, 7.62, 327.39) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.51793
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.985574
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.004124
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.023565
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.067257
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.156317
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.24936
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.720913
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.752784
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.785976
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.820521
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.916535
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.064057
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.023607
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.075783
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.225851
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.10939
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.997361
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.935748
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.92277
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.911012
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.900467
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 7.95356
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.022228
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.093313
(336.83, 7.62, 327.39) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.318365
(336.83, 7.62, 327.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 13.29771
(336.83, 7.62, 327.39) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 16.44009
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 4.982893
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.001411
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.02082
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.066305
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.155327
(336.83, 7.62, 327.39) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.248331
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.730214
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.762206
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.795522
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.830193
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 6.924607
(336.83, 7.62, 327.39) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.0725
(336.83, 7.62, 327.39) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 9.020502
