¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.32443
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.31745
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.31336
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.31215
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.31383
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.237906
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.219211
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.201303
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.184169
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.167794
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.152164
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.137265
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.123087
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.128865
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.946016
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.244367
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.56479
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.971596
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34332
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70857
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12583
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67914
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07254
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1463
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95761
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.16634
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.9616
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.48914
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.47043
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.45466
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.44181
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.43188
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.42486
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.42075
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.41952
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.42121
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.262277
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.243473
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.225461
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.208227
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.191756
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.176035
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.161049
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.146789
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.133239
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.120391
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 4.145888
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.552916
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.940544
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30623
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67052
«(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11339
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68684
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10283
(406.43, 7.32, 367.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17212
