¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89849
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99978
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10462
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.867816
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.127682
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.414363
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.726285
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.06686
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.440165
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.92417
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.556383
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30782
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55159
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74563
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94861
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16114
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38377
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57891
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76506
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95915
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07038
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13969
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21164
(402.51, 12.70, 330.84) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.28629
