¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85071
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09795
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.32619
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.29146
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.25957
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.23051
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.20426
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.1808
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.16008
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.246634
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.449331
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.654373
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.846422
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.05093
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.269194
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.502522
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.752528
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.02104
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.314643
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.6342
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.920416
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.208355
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.524323
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.864193
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23089
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62746
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01214
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36192
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73643
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13837
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57072
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19346
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31964
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 17.6128
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 17.67411
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 17.73299
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 17.78306
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.51138
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 17.89211
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 17.95118
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.249608
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452524
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.650143
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.84189
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.046125
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264051
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.497031
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746679
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020012
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.315701
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.635339
Ù(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.908028
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.193718
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.504258
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.842661
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20765
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6024
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97343
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32065
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69231
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09113
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52003
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98531
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61863
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82364
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.7404
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.81676
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.72924
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.58859
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 17.96114
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.02065
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.252666
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.455752
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.646107
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.837619
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.041573
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.259211
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.491854
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746967
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.02129
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317068
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.629807
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.896272
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.181116
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.486276
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.8219
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18527
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57819
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93601
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28075
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64973
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04547
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.4836
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93666
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3135
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07433
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.81363
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.89063
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.81179
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.66925
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.0334
(437.60, 13.85, 283.93) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 18.09338
Å(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.255768
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459096
(437.60, 13.85, 283.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642262
