¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28857
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3699
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3366
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.98197
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03199
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.27871
(402.45, 14.19, 246.22) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 21.31638
(402.45, 14.19, 246.22) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 21.51734
(402.45, 14.19, 246.22) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 21.57173
(402.45, 14.19, 246.22) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 21.48376
(402.45, 14.19, 246.22) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 21.22135
(402.45, 14.19, 246.22) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 20.56105
(402.45, 14.19, 246.22) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 22.7124
(402.45, 14.19, 246.22) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 22.76536
(402.45, 14.19, 246.22) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 22.67207
(402.45, 14.19, 246.22) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 21.26156
(402.45, 14.19, 246.22) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 21.33347
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599958
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.839405
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.098009
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378067
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.682309
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.013984
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.376909
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.775608
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.215623
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.703606
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24778
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85835
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5481
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33339
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2813
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34651
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28636
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01683
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97014
(402.45, 14.19, 246.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 17.20589
(402.45, 14.19, 246.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 16.98307
(402.45, 14.19, 246.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 16.90471
(402.45, 14.19, 246.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 16.96991
(402.45, 14.19, 246.22) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 17.17313
(402.45, 14.19, 246.22) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 20.27002
(402.45, 14.19, 246.22) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 20.30034
(402.45, 14.19, 246.22) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 20.94995
(402.45, 14.19, 246.22) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 20.94735
(402.45, 14.19, 246.22) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 20.94787
(402.45, 14.19, 246.22) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 21.11282
(402.45, 14.19, 246.22) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 21.57248
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599299
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.838707
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.097246
Ş(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.377249
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.681416
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.01303
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.375848
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.774455
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.214348
(402.45, 14.19, 246.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.702181
