¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Í(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.440519
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.629506
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.832998
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.046751
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.280559
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.539819
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.822466
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.166782
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.571084
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.024997
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.538167
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.122905
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.795192
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.57615
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.46304
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.54452
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 14.4037
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 17.64483
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.272164
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.448666
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.638266
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.842144
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.056609
(334.41, 7.03, 313.36) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.292146
