¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
«(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.1111
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.97626
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.68155
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.174581
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.393259
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.629019
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.883901
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.160278
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460937
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.789164
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.702611
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.135899
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.616096
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15119
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74665
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39945
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42705
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16269
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48595
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.85795
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.97209
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.11712
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.04139
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.175139
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.39386
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.629669
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.884604
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161042
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.46177
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.306651
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.699223
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.132145
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.611956
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14655
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74584
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40167
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33515
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32116
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.64073
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.87907
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.02791
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.12304
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.11134
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.175684
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.394446
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.630303
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.885291
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161787
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955675
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3043
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.695791
ƒ(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.128367
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.607739
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14185
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74055
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40384
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23974
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48263
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.47204
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.92827
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.08302
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.35039
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.34763
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176216
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.395018
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.63092
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.885959
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.162513
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.956729
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.305397
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.692333
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.124515
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.603483
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13708
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73518
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40595
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14598
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58018
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.80937
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.01244
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.75326
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.2009
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.7665
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.16947
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.98796
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.99576
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.00552
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.01723
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.03088
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.05206
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.08208
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.11673
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.176733
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.395576
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.631521
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.886611
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638138
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.957726
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.306487
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.688786
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.120628
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.599135
¹(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13224
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72975
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40392
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14839
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58323
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.86134
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.67706
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.61338
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.5346
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.42109
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.22635
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.27297
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.5458
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.55439
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.56634
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.58749
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.6106
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.63568
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.66276
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.69515
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.73152
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.177237
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.396118
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.632107
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.887243
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.63906
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958682
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.307571
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.689811
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.116674
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.594742
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12732
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72418
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39764
(337.71, 7.47, 333.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15073
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.10766
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.05801
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.05095
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.05996
(337.71, 7.47, 333.55) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.08412
