¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
±(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.25113
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.58038
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.32311
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.356072
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.538051
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.733715
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.942056
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.16664
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.415013
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.685271
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.98216
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.36328
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.789639
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.269717
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.81426
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.392163
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.0549
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.86627
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.90908
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.33632
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.71237
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.53957
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.56245
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.364559
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.547164
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.743525
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.952514
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17857
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.427972
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.699397
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.99867
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.381701
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.810323
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.2931
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.833843
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.404489
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.0816
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.90863
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.9699
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.42144
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.84365
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.75604
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.61854
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.373088
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.556324
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.753388
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.963048
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.190561
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.441
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.713599
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.015116
ì(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.40006
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.830938
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.316415
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.844612
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.416729
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.10818
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.95086
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.0306
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.50644
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.97409
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.96605
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.63006
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.381658
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.565529
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.763299
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.973657
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.202614
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.454096
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.72788
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.031493
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.418345
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.851482
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.339657
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.855303
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.428881
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.13463
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.99296
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.09116
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.59149
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.10358
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.09853
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.28195
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.390268
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.574779
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.77326
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.984342
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.214725
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.467259
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.742236
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.047801
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.436557
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.87195
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.358084
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.865911
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.44928
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.16095
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.03489
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.15155
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.68094
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 16.232
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.22313
¶(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.26019
(334.40, 7.01, 313.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.398918
