¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢ (391.05, 14.91, 305.48) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 12.16327
(391.05, 14.91, 305.48) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 12.33162
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.33401
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 19.63968
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 19.62664
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 19.61654
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 19.60937
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 19.60514
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 19.87837
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 19.88001
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 20.548
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.415674
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.587056
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.770551
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.967412
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.17911
(391.05, 14.91, 305.48) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 6.255626
(391.05, 14.91, 305.48) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 6.26072
(391.05, 14.91, 305.48) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 6.266759
(391.05, 14.91, 305.48) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 6.273746
(391.05, 14.91, 305.48) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 6.281689
(391.05, 14.91, 305.48) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 6.29059
(391.05, 14.91, 305.48) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 6.30046
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.73615
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.231729
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.788446
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4183
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13652
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9633
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89959
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07363
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17739
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03454
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 21.08677
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 20.04016
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 19.92207
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 19.89907
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 20.00935
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 20.00507
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 20.25829
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 20.26001
(391.05, 14.91, 305.48) (426.17, 13.93, 303.32) (8.74, 12.90, 16.45) Truck 20.28406
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.411846
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.58295
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.76614
(391.05, 14.91, 305.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.962691
(391.05, 14.91, 305.48) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 6.132229
(391.05, 14.91, 305.48) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 6.135791
