¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.478151
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.791292
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.133088
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.490552
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.831916
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.203297
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.608843
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07304
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77567
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78279
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81756
(403.40, 14.86, 307.04) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.68084
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77618
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.45152
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.43411
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.12202
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.19178
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.38258
(403.40, 14.86, 307.04) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.68371
(403.40, 14.86, 307.04) (430.08, 8.13, 310.99) (1.18, 1.64, 1.15) Tools 12.69344
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687423
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.925681
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.191352
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479333
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792609
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.132192
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492682
(403.40, 14.86, 307.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.834205
