¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64233
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.39785
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.35084
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.63312
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.71343
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.79771
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.88607
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.97853
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.07521
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.17619
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.108209
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.228884
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.355422
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.48819
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.627609
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774218
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.928493
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111339
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.320743
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.544008
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.782537
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970802
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.111526
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.258512
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.692313
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.061587
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.206772
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10648
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.20293
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56833
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.31519
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37334
(351.23, 7.11, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.24832
