¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77426
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.8562
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12979
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.84435
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.82521
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.12626
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.842337
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.947896
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.058734
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.17504
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.298868
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.431995
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.574602
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.72742
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.891419
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.063909
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.249819
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.450841
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.668756
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.904615
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.158685
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.434484
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.735283
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.070249
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.442052
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.851162
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.31716
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.836985
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.434668
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11709
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.93065
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.87185
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.95088
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.27358
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.01797
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.23024
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.79063
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.853297
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.959517
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.07056
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.187605
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.312318
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.446598
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.590217
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.744154
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.908672
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.082458
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.269834
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.472487
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.692233
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.929424
Ü(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.185741
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.463187
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.766802
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.105969
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.480389
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.894524
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.366599
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.890926
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.498115
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18982
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.02322
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.97231
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.05202
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.4221
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.1977
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.45011
(350.39, 8.52, 313.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.49755
(350.05, 8.46, 313.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.910758
