¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.255695
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 9.855062
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.159286
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.191957
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.225781
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.260797
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.297045
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.334567
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.373408
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.413617
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.499084
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.620912
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.750249
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.887785
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 8.055058
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 8.037632
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 8.021481
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 8.125648
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 8.241413
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 8.361791
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 8.571939
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.243032
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.710085
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.711067
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.712902
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.715592
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.719138
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 5.863757
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.282024
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.765635
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.331101
(343.25, 7.29, 364.50) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.590518
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.110504
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.142197
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.17501
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.20898
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.244145
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.280548
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.318232
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.35724
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.467736
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.587748
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.715108
(343.25, 7.29, 364.50) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 4.850487
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.86699
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.849925
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.869891
(343.25, 7.29, 364.50) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 7.976956
