¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01137
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.95838
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05295
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.83494
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.81403
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.79524
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.77855
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.76396
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.75145
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.74101
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.73263
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.72631
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.72205
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.71983
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.71966
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.759603
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.953559
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.163635
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387669
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.629631
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.349172
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.646619
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.970389
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.324087
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712008
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.139297
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.612125
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1382
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7268
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38984
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14212
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0012
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.93198
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02466
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.91792
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.89687
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.87796
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.86116
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.84647
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.83387
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.82336
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.81492
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.80855
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.80424
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.802
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.80182
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.759279
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.953211
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.162365
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387074
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.628986
¯(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346614
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.643827
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.967351
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.320776
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.708385
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.135269
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.607692
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13319
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72125
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38353
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13496
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9947
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90593
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99437
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.00402
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.98283
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.96378
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.94687
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.93207
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.91938
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.90879
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.90028
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.89386
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.88952
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.88725
(330.67, 7.41, 368.77) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.88706
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.75898
(330.67, 7.41, 368.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.952889
