¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ï(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22421
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.97735
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.91748
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.12502
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.82201
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.553986
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.770241
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.002335
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.252028
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.533606
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.823797
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.108176
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.419388
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.762031
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.112275
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.506236
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.899461
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.33609
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81412
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28275
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7983
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54021
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22705
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.97733
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.90432
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.09624
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.72032
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.544623
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.760208
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.991559
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.240423
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.521471
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.815184
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.098896
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.408402
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.753976
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.103539
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.496077
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.892941
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3274
(425.17, 9.61, 362.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80959
