¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.812717
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.760132
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.71131
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.699006
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.68803
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.689896
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.715468
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.7425
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.799359
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.870974
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.974954
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.1208
(416.84, 13.21, 329.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47647
(416.84, 13.21, 329.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71301
(416.84, 13.21, 329.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60003
(416.84, 13.21, 329.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51222
(416.84, 13.21, 329.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.69688
(416.84, 13.21, 329.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.70349
(416.84, 13.21, 329.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.133762
(416.84, 13.21, 329.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.588189
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.232617
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.026937
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.914713
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.827487
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.774777
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.723989
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.710721
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.699752
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.699151
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.724804
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.751919
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.806015
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.877753
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 8.977336
(416.84, 13.21, 329.26) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.123266
