¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ (431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192509
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.440129
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731711
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.079641
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.459854
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.870612
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.3248
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.829518
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34505
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89267
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.11817
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.09745
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.07832
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.06076
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.04476
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.0303
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.01738
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.00599
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 9.996105
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 9.987734
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.37277
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.5161
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.25119
(431.47, 14.17, 332.09) (426.17, 13.99, 303.25) (8.74, 13.02, 16.59) Truck 10.24575
(431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.840712
