¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25166
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33707
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4255
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51706
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61186
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70999
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81157
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9167
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02381
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13296
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24598
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36299
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48407
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02033
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953155
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153619
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.351433
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.561613
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.78534
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.999756
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.226121
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.992526
(334.20, 6.96, 313.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.865528
