¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.460963
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.774689
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090086
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.416011
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.770636
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.157924
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.582502
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.987623
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33041
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69921
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09706
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5274
(323.47, 7.59, 368.41) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 11.58843
(323.47, 7.59, 368.41) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 11.56716
(323.47, 7.59, 368.41) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 11.5477
(323.47, 7.59, 368.41) (347.72, 0.43, 381.22) (0.61, 0.87, 0.61) Tools 11.67099
(323.47, 7.59, 368.41) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 13.22762
(323.47, 7.59, 368.41) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 13.21198
(323.47, 7.59, 368.41) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 13.19834
(323.47, 7.59, 368.41) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 13.1867
(323.47, 7.59, 368.41) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 13.17704
(323.47, 7.59, 368.41) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 13.16937
(323.47, 7.59, 368.41) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 13.16366
(323.47, 7.59, 368.41) (350.71, 1.03, 381.70) (3.36, 2.06, 1.87) Tools 13.15992
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.836963
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021524
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.219107
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.431096
(323.47, 7.59, 368.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.659081
