¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
•(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.337626
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.938585
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7533
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91169
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87478
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.84353
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.764956
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.88684
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.015892
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.152734
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.298066
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.795453
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.967206
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.150379
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346118
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.555761
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.78074
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.022851
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.283951
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592428
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.930799
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.338311
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.799972
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.341965
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.948184
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77447
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93831
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96762
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.91908
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.762366
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.884104
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.012997
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.149667
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.29481
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.449211
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.731755
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.150105
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.345837
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.555431
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780442
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.022469
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.283587
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.590541
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.934441
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.342798
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.804178
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.346754
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.958303
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79595
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96492
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06074
÷(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.27429
(429.45, 10.61, 357.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.759942
