¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.862184
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.207241
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.585302
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.001306
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.403862
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.764732
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15602
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5816
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04617
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47094
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95403
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93699
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87558
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94657
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 15.79411
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.55763
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.510661
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740839
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.988948
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.25718
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547961
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.86424
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.209494
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.58776
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.004002
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.443081
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.81307
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20847
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63869
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1085
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5335
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99026
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8309
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78665
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82723
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.56445
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.57481
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.512038
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.742322
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990549
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.258885
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.549832
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.866288
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.21172
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.590218
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.006718
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44809
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.862258
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26183
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69683
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1711
‰(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59748
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05955
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72647
(360.37, 7.13, 351.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69925
