¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Á(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.795183
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.987389
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.189566
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.402468
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62695
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.863945
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08626
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24577
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41065
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58514
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77668
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97694
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18646
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40589
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.63812
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92121
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40614
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95283
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49483
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9162
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.62911
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.63115
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.63627
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.575042
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.797136
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.989414
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.191696
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.404722
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.629304
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.866435
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07581
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23624
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40079
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57231
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75122
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93797
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14432
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36196
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.59007
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85199
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31148
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84946
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41247
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69024
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.55837
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.56033
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.56535
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564155
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.796181
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.991919
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.194332
À(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.407465
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.632231
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.869508
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06628
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22681
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39192
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56313
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74172
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92812
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12277
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32621
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54585
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78482
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21912
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74876
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32849
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96299
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.49114
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.49301
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.49794
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55353
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.784914
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.994894
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.197473
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.410774
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.635703
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.873137
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0577
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21794
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.3841
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55502
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73328
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91936
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11366
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31675
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52912
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75144
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12908
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65064
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22109
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78748
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.42736
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.42915
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.43399
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.543196
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.773991
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.998379
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.201088
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.414618
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.639709
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.877428
½(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05003
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20998
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37668
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54791
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7259
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91168
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10575
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30849
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52056
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74251
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09364
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55605
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1165
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70531
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.36698
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.3687
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.533121
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.763305
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.002332
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.205249
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418951
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.644329
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.882249
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04329
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20303
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36946
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54182
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71962
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90516
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09897
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30144
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51323
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73488
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07678
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.53787
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03754
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62097
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.30995
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.3116
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.31628
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.32399
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.523323
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.752939
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.99661
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.209911
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.423851
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.649464
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.884348
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0375
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19701
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36322
À(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53657
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71444
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89978
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09335
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29561
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50716
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72855
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07271
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.52081
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01907
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56075
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.25623
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.25781
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.26242
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.27005
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.513804
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.742809
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.985884
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.215061
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.429284
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.65518
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.879641
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03261
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19194
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35801
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53115
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.71028
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89548
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08887
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29096
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50234
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73329
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07914
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50492
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00185
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54204
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.20578
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.2073
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.21184
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.50452
(418.95, 13.57, 326.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.733015
