¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô (437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993232
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.465821
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.683567
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.663678
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.64517
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.586946
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.571226
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.556839
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.543775
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.532021
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.562336
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.553136
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.52806
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.52527
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.52434
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.52529
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.68128
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.91892
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.92338
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.92978
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.837752
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.0382
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.253855
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.492602
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.752262
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.034672
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.342844
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.680477
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051926
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.472341
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.968252
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.465657
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.708921
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.69411
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.680641
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.550404
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.534746
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.520416
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.507401
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.495693
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.62755
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.62326
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.97178
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.9692
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.96856
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 12.96986
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.95142
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.06762
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.07219
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.07871
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.830757
… (437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.030662
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245739
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.482642
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74143
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.022851
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.329937
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.666334
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.036328
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.450052
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.942007
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.775301
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 8.807878
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52675
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93172
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3708
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91691
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99014
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26452
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.46917
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.46082
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.45447
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.45015
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.44782
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.44751
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.4492
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.79483
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.22178
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.22645
(437.43, 14.14, 288.09) (426.17, 14.14, 303.08) (8.74, 13.33, 16.93) Truck 13.23311
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.823745
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.023123
(437.43, 14.14, 288.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.237652
