¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.061816
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.101274
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.142391
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.185126
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.22956
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.275741
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323654
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.37338
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.425008
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.478497
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.534001
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.591534
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.651106
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.712834
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.776779
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.84466
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885167
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.10594
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.342454
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.526837
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.70618
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.738879
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.763857
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.790159
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.817757
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.846774
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87716
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.908982
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.942249
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.976982
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.013268
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.05103
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.090417
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.131403
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.17397
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.218294
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.264328
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3121
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361675
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.413122
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.466489
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521828
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.579168
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.638572
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.700129
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.763876
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.829897
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.875441
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.095507
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331304
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.538507
Š(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.706703
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.730239
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755117
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.781311
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.808857
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.837764
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.868068
(369.85, 6.87, 356.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899778
