¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.977085
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.266795
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.596596
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.957759
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.351087
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.806548
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.316028
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.904879
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58473
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37528
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.29544
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.39001
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.7596
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.55881
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.39037
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.225771
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.458577
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.710508
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.978076
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.268402
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.598359
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.959017
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.353097
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.80879
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.318545
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.908218
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58931
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38059
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30166
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.39786
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.77171
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.57073
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.41469
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.227151
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.460069
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.712126
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.979025
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.269912
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.600016
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.960182
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.354943
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.81085
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.320856
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.911275
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59354
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38549
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30739
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.40508
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.78291
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.58149
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.43566
 (437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.228474
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.461498
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.713675
(437.98, 13.85, 292.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.979928
