¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.083622
(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.452983
(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859087
(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.307664
(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.682777
(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07401
(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49982
(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96494
(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50789
(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31796
(329.82, 7.46, 368.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86322
(329.82, 7.46, 368.40) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 14.34564
(329.82, 7.46, 368.40) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 14.28206
(329.82, 7.46, 368.40) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 14.34996
(329.82, 7.46, 368.40) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 14.82647
(329.82, 7.46, 368.40) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.97124
(329.82, 7.46, 368.40) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.95393
(329.82, 7.46, 368.40) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.93919
(329.82, 7.46, 368.40) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.927
