¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.199057
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.709496
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28156
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87242
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45545
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17767
(415.56, 14.45, 246.29) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.559035
(415.56, 14.45, 246.29) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.546266
(415.56, 14.45, 246.29) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.534806
(415.56, 14.45, 246.29) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.524649
(415.56, 14.45, 246.29) (394.47, 8.04, 255.31) (3.28, 2.50, 2.33) Truck 8.515786
(415.56, 14.45, 246.29) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 15.94303
(415.56, 14.45, 246.29) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 18.03055
(415.56, 14.45, 246.29) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 20.42403
(415.56, 14.45, 246.29) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.38008
(415.56, 14.45, 246.29) (392.09, 7.80, 265.10) (1.74, 0.49, 3.91) Tools 19.27195
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.356861
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.516754
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.687404
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.869822
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.065271
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.275158
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.501114
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740067
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995853
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.277118
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592316
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.937329
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.316436
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.730796
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.194776
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.704703
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27619
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85845
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43992
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14916
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93662
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75812
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71632
(415.56, 14.45, 246.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.23034
(415.56, 14.45, 246.29) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.02493
(415.56, 14.45, 246.29) (394.59, 7.20, 263.75) (3.47, 0.55, 2.78) Tools 16.00301
(415.56, 14.45, 246.29) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 18.59322
(415.56, 14.45, 246.29) (392.05, 7.25, 266.04) (0.46, 0.64, 3.99) Tools 21.12003
