¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.01637
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.5331
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.09473
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.70596
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.37393
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.10799
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.51316
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.46674
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.52116
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.70151
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.85297
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.88732
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.838582
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10752
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39321
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69712
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97703
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99512
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35298
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.73672
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14884
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59239
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.07175
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.59313
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.16003
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.77836
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.45326
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.19528
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.61658
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57155
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63191
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.84756
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98643
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.98175
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.869859
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14074
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42843
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73461
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.95057
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03581
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39652
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78342
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.1994
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.64708
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.1307
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.65489
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.22655
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85122
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.53415
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84336
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.72209
ø(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.67859
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.74149
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98374
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.12334
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.07935
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.901661
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17442
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46423
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77267
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.92589
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07717
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.44079
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.83091
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25047
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70272
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.19086
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.72014
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.29591
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92525
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.61662
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94075
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.82972
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78793
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.87624
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10883
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.25549
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.18012
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.933902
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20863
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50057
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81136
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9096
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11919
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48577
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.87919
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30241
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.75888
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.25208
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.78658
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.36824
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.00347
(393.69, 12.59, 327.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.69993
