¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Œ (392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.785171
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.067373
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.366068
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.692291
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050037
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.443979
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.879881
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.364677
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.907031
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58324
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32647
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17331
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15911
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32099
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.62413
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.09065
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.06574
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.04302
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.02245
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.00404
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.98776
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.97359
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.17335
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.518
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.51453
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.51323
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.51409
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.865949
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.060953
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.27836
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.518765
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.77938
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058674
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.356562
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.681895
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.03861
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.431379
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.865882
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.349077
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889577
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56091
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29503
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13691
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11649
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27043
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.55509
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.9512
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.93382
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.91857
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.90542
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.89437
• (392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.90463
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 13.98065
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 15.091
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.58627
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.58278
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.58147
(392.46, 14.82, 305.53) (426.17, 13.82, 303.44) (8.74, 12.69, 16.21) Truck 14.58233
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.862042
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.056781
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.273425
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513406
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.773575
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.049974
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.3471
(392.46, 14.82, 305.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.671559
