¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.149828
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.501135
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22412
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14295
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17216
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17457
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.09557
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44082
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.63492
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.8364
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0193
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20675
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4011
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27226
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.87615
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.83024
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.571448
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.766868
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.975893
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212059
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.469861
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.751037
(334.69, 7.57, 353.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.058865
