¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.779285
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.939779
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.110418
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.276744
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454389
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.646483
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.8514
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.070451
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.303874
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.553633
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.822281
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.10229
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.372833
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.663428
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.976273
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.314013
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.694557
(352.06, 9.12, 316.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09567
