¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.06862
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.38971
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.37505
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.23779
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.56157
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.33047
(331.29, 7.41, 369.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.325999
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.443939
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.318974
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.199668
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.135254
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.112578
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.090976
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.070428
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.050919
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.082146
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.118203
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.155613
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.194416
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.285771
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.44083
(331.29, 7.41, 369.21) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.07129
(331.29, 7.41, 369.21) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.829813
(331.29, 7.41, 369.21) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.18283
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.60579
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.24899
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.08136
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.59368
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.99955
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 14.06378
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 14.05035
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.53019
(331.29, 7.41, 369.21) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.75474
(331.29, 7.41, 369.21) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.325237
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.500055
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.373153
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.252027
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.173715
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.150897
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.129158
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.108482
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.08885
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.114191
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.150723
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.188626
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.227933
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.310181
(331.29, 7.41, 369.21) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 6.466519
(331.29, 7.41, 369.21) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.747277
(331.29, 7.41, 369.21) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.92504
(331.29, 7.41, 369.21) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 10.28524
à(331.29, 7.41, 369.21) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 13.54609
