¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.331527
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.567502
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.827157
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.109297
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.416914
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.753567
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.124333
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.535361
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.994877
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.508185
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08053
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7098
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42573
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25727
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.23787
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.39332
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.79007
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.48993
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.4967
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.09399
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.908754
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.112546
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.331188
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56751
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.827168
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.109305
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.416925
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.753578
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.124324
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.535598
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.99514
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.508482
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08106
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71049
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42652
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25796
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.23783
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.39316
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.78988
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.4897
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.49674
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.09361
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.908447
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.112242
(329.30, 7.37, 375.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.33086
