¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
³(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49961
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.819329
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.168771
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55229
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.974952
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44305
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.964273
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.548
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2062
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95389
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26589
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3984
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54189
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70004
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86415
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03451
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21147
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39536
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58647
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.42987
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51689
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.683113
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.932848
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.20303
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.496322
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.815742
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.164854
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547935
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.970162
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.437746
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.958313
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54134
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19865
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94528
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26335
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41083
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56386
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7226
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88732
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05837
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23603
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42064
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13909
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.64711
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68046
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.929971
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.199935
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492958
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812069
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.160809
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.543498
·(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.96525
(413.74, 14.56, 246.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.432301
