¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ø(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5544
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70334
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85783
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.98828
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11809
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25253
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39177
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.536905
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.039127
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.19524
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.362133
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.547796
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.752257
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.973315
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.211579
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.463442
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.737605
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.037189
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.363257
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711167
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.094834
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.520018
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993759
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.541109
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17308
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89639
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6972
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99704
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12586
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25932
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39763
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54098
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68959
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84373
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00358
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14204
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.277
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41672
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.526129
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.66415
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.183811
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.34995
(388.77, 7.26, 357.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.53025
