¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13905
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.552632
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.030026
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.553349
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13791
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.80376
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.5606
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25925
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.315
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.28986
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.26809
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.24836
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.23067
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.21499
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.20131
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.18963
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17994
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17222
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.16648
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.16271
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1609
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.491856
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.675257
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.872331
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.082336
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.306186
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.554881
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.822546
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.107472
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.421456
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.762396
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.136707
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.550056
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.026426
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.547099
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13067
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79658
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.55128
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24718
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3009
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.29573
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.27395
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.25421
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.2365
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.22081
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.20713
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.19545
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.18575
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17803
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17228
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1685
Ä(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.16669
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.491355
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.674265
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.871264
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.081484
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.304655
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.553136
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.821123
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.105628
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.419437
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.76039
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.134464
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.547595
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.022954
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.540933
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12539
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78961
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.5422
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.23535
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2871
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.3036
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.2818
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.26204
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.24433
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.22863
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.21493
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.20324
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.19353
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1858
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.18005
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17627
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.17446
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.490897
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.673303
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.870231
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.080689
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.303794
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.55143
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.819771
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.104072
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.417493
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.758478
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.132324
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.545247
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.019614
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.534846
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12029
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78283
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53336
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22388
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27369
ü(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.31347
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.29165
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.27188
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.25414
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.23843
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.22472
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.21302
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.2033
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.19556
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1898
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.18602
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.1842
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.49048
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.672373
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.86923
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.079946
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.302994
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.549763
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.81849
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.102676
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.415623
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.75666
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.130284
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.543015
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.015524
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.528846
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11535
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77625
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52475
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21269
(331.33, 7.54, 367.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26063
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.32535
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.3035
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.28371
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.26596
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.25023
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.2365
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.22478
(331.33, 7.54, 367.96) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.21506
