¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.41461
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.38441
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.35718
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.33292
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.31159
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.29319
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.2777
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.2651
(331.69, 7.69, 366.98) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 19.2554
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.287415
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.463342
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.652253
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.856902
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.088319
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.339761
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.613896
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.906668
(331.69, 7.69, 366.98) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.224692
