¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (395.00, 14.69, 305.56) (426.17, 13.75, 303.51) (8.74, 12.56, 16.07) Truck 12.18721
(395.00, 14.69, 305.56) (426.17, 13.75, 303.51) (8.74, 12.56, 16.07) Truck 12.18593
(395.00, 14.69, 305.56) (426.17, 13.75, 303.51) (8.74, 12.56, 16.07) Truck 12.18648
(395.00, 14.69, 305.56) (426.17, 13.75, 303.51) (8.74, 12.56, 16.07) Truck 12.18884
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.913405
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.111242
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.323772
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.55262
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.799689
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.067248
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.357811
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.679392
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.053749
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.467806
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.910522
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.399326
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.946414
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5628
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26245
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06158
(395.00, 14.69, 305.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9291
(395.00, 14.69, 305.56) (426.17, 13.75, 303.51) (8.74, 12.56, 16.07) Truck 11.63189
(395.00, 14.69, 305.56) (426.17, 13.75, 303.51) (8.74, 12.56, 16.07) Truck 11.60356
(395.00, 14.69, 305.56) (426.17, 13.75, 303.51) (8.74, 12.56, 16.07) Truck 11.5771
(395.00, 14.69, 305.56) (426.17, 13.75, 303.51) (8.74, 12.56, 16.07) Truck 11.55247
(395.00, 14.69, 305.56) (426.17, 13.75, 303.51) (8.74, 12.56, 16.07) Truck 11.54183
