¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50232
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.87746
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.28026
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.72208
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22257
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.816373
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.069808
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346647
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.647239
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.963101
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.29121
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.648913
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.006264
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.377739
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.711389
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06976
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45728
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.10866
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.50389
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.89953
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.36905
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.91183
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.807871
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059003
(378.40, 7.61, 346.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334929
