¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92414
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03838
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.64225
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.86778
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.81963
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.3862
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.84542
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.805165
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.005046
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.220906
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.453863
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.700089
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.961578
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.245432
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.552216
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.880703
(384.04, 13.94, 256.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.242596
