¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ (416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.93478
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.942956
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.963378
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.9851
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.036102
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.101255
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.169973
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.299111
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.433676
(416.61, 13.21, 329.43) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.70641
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55878
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02875
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.69506
(416.61, 13.21, 329.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43024
(416.61, 13.21, 329.43) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 17.87673
(416.61, 13.21, 329.43) (406.25, 10.06, 299.30) (1.06, 0.61, 0.97) Tools 17.87598
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.15143
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.17736
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.20652
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.23894
(416.61, 13.21, 329.43) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.27463
