¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.39346
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75778
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.13968
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.56248
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.04439
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.54884
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.769743
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.963993
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.172729
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.396071
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.636812
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.8993
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.185133
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.496549
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.834939
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.209669
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.623643
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.082956
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.57863
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13097
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75464
(381.14, 7.21, 354.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19301
