¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(325.17, 7.46, 368.42) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.84518
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.562617
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.790051
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.034911
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.299237
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.585374
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884977
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.198652
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55984
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955723
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.39143
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.799377
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0905
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40108
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73301
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 10.94902
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 10.92226
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 10.89725
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 10.87397
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 10.9123
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.44061
(325.17, 7.46, 368.42) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.49183
(325.17, 7.46, 368.42) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.47494
(325.17, 7.46, 368.42) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.46011
(325.17, 7.46, 368.42) (350.31, 0.72, 378.92) (1.40, 1.43, 1.35) Tools 13.44732
(325.17, 7.46, 368.42) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.00194
(325.17, 7.46, 368.42) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.77992
(325.17, 7.46, 368.42) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.78096
(325.17, 7.46, 368.42) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.77782
(325.17, 7.46, 368.42) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.77808
(325.17, 7.46, 368.42) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.8507
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.565749
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.793456
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.038584
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.303196
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.589645
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.890758
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.213765
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.576403
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.972875
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.402301
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.814376
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10642
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41801
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75111
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1079
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.15512
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.1295
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.10566
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.09919
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.45757
©(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.77329
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.07932
(325.17, 7.46, 368.42) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.78955
(325.17, 7.46, 368.42) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.92341
(325.17, 7.46, 368.42) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 22.91437
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.568945
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.796837
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.042254
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.307177
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.593968
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896698
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.228975
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.588183
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.979405
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.409513
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.830004
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12304
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43575
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77003
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12816
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.39988
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.37362
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.34917
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.32651
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.50552
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.79449
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.12455
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.572094
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800288
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.045938
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.311136
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.598272
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.908104
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.236282
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.594194
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.986016
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.416798
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.846344
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14046
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45427
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7898
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17317
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.65741
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.63046
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.60537
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.58211
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.71671
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.81577
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.16997
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.575271
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803699
š(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.049613
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315125
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602598
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.913236
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.241878
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.600287
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.992722
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.425999
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.863339
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15853
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47355
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81042
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22159
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73738
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.90101
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.87524
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.85134
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 11.93725
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.83714
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.21561
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.578454
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.807113
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.053308
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.319111
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606936
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918406
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.247469
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.606407
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.999455
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.43724
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.881089
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1774
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49366
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83186
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27106
(325.17, 7.46, 368.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81342
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.1863
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.15981
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.13524
(325.17, 7.46, 368.42) (348.39, 0.45, 378.22) (3.74, 0.90, 3.28) Tools 12.16774
