¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë (336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.841624
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.268938
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.746888
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.284948
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.8949
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.67029
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.84469
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.31115
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.19463
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.6212
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.250453
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.514554
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.803017
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.11932
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.46764
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.853032
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.281667
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.761181
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.301106
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.89893
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.70605
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.88715
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.36494
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.26494
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.17428
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.257383
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.522116
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.811298
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.128427
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.477699
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.864198
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.294131
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.775178
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.316683
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.911631
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.74075
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.92826
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.41707
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.33313
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.69331
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.264158
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.529508
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.819394
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.137331
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.487536
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.875119
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.306323
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.788875
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.316239
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.930064
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.77435
è (336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.95562
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.46747
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.39916
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.07014
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.270775
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.536729
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.827303
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.146031
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.497149
(336.95, 7.11, 311.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.885792
