¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‰(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.91283
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.36504
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.23313
(344.79, 6.79, 312.10) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 22.50852
(344.79, 6.79, 312.10) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 22.47445
(344.79, 6.79, 312.10) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 22.69455
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.902153
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.092376
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.296162
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.515065
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.750781
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.00528
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.281617
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.58107
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.907442
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.264164
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.656121
(344.79, 6.79, 312.10) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.080901
