¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(329.55, 7.48, 368.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42558
(329.55, 7.48, 368.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29544
(329.55, 7.48, 368.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.11668
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.2155
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.19085
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.16868
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.14898
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.13174
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.11694
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.10456
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.0946
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.08706
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.08192
(329.55, 7.48, 368.04) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 16.07918
(329.55, 7.48, 368.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.910379
(329.55, 7.48, 368.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.100164
(329.55, 7.48, 368.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303554
(329.55, 7.48, 368.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521983
(329.55, 7.48, 368.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.757089
(329.55, 7.48, 368.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.010906
(329.55, 7.48, 368.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285682
