¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‚(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.82244
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.470597
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.696954
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.940787
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.204125
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.490873
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.809023
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165056
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.55711
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.988392
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.44117
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.943524
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52073
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1738
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91522
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76409
(336.96, 7.52, 348.03) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72161
