°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
† (392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.77761
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.767991
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.932317
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.171824
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.290137
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.281855
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.274242
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.267292
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.260999
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.255359
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.824181
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.816603
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.242315
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.239249
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.236818
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.235023
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.23386
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.23333
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.233431
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.234165
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.235531
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.883427
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.867315
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.851908
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.837194
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.823162
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.809797
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.797091
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.785033
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.773611
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.762819
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.752647
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.743087
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.941561
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.182254
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.261765
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.253533
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.245965
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.239055
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.232799
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.227192
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.911612
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.902853
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.214219
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.211167
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.208747
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.206959
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.205798
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.205266
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.205362
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.206086
ü (392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.207438
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.858552
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.842538
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.827226
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.812602
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.798653
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.78537
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.772741
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.760754
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.749402
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.738674
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.728563
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.735889
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.950866
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.192759
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.234393
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.226209
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.218684
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.211813
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.205593
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.200016
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.003751
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.994688
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.187111
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.184074
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.181665
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.179883
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.178726
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.178193
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.178283
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 4.178997
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.839658
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.83456
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.818641
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.803419
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.788882
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.775016
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.76181
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.749255
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.737338
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.726052
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.715387
(392.84, 14.46, 309.89) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 3.705334
