¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™ (416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.728785
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.689359
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.651569
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.615392
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.580788
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.547733
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.516196
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.486156
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.457583
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.430457
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.404755
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.380456
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.357539
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.33599
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.315789
(416.70, 13.20, 329.37) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.590179
(416.70, 13.20, 329.37) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.855609
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07111
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.8184
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65201
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.20876
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.2191
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.23218
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.248
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.26658
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.28793
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.31206
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.33901
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.36877
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.582584
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.541003
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.501085
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.462799
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.426104
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.390975
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.35738
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.325289
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.294678
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.265519
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.237792
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.211471
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.186536
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.162965
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.140743
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.119848
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.100267
(416.70, 13.20, 329.37) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.610681
(416.70, 13.20, 329.37) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.858226
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04175
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4927
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.28864
« (416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.35108
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.36171
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.3751
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.39126
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.4102
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.43193
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.45647
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.48384
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.51406
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.365414
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.324989
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.286184
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.248964
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.213297
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.179153
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.146502
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.115318
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.085576
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.057246
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.03031
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.004745
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.980529
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.957642
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.936068
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.915789
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.896789
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.177341
(416.70, 13.20, 329.37) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.861699
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03144
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24467
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94303
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.49839
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.50933
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.52306
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.53957
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.55888
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.58101
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.60597
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.63379
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.66448
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.160166
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.120829
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.08307
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.046855
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.012156
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.978938
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.947178
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.916845
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.887915
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.860367
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.834175
£ (416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.809319
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.785778
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.763534
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.742569
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.722867
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 7.749956
(416.70, 13.20, 329.37) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 8.146646
(416.70, 13.20, 329.37) (414.00, 8.57, 303.93) (3.20, 2.68, 3.20) Tools 9.866031
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02289
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23583
(416.70, 13.20, 329.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61396
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.65087
(416.70, 13.20, 329.37) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 18.66213
