¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‚ (394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.36692
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.680563
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.023376
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.399493
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.807054
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.439221
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.418292
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.400162
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.38322
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.369351
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.250603
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.237256
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.225034
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.213929
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.203931
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.422583
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.087261
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.743311
(394.54, 13.85, 248.02) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 22.01072
(394.54, 13.85, 248.02) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 21.99607
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.049354
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.046986
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.04567
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.045405
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.046192
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.048031
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.14443
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.354848
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.581245
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.822908
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078641
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.36441
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.677838
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020379
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.478977
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.451221
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.424775
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.402317
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.384223
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.367318
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.355464
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.244186
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.23085
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.218638
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.207541
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.197552
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.430537
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.080083
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.755937
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.043109
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.04074
 (394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.039424
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.039159
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.039945
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.041781
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.140888
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.351045
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577154
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819036
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074467
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.36192
(394.54, 13.85, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675145
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.496463
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.46559
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.437893
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.411503
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.387509
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.369451
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.352864
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.342707
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.238858
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.225531
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.213328
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.20224
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.192256
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.438401
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.074123
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 8.768424
(394.54, 13.85, 248.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 7.037923
