¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¾(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.302487
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.614159
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.854628
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.963559
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.07679
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194481
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.316953
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.444408
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.577158
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715436
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859592
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36482
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.61753
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88445
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12027
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31121
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51055
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72573
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98158
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.33008
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74785
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19696
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68098
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20409
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.71716
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.72437
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.73482
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.74852
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.073039
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.136876
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.203037
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.609375
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.809136
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.916642
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.028351
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.144515
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.265268
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.390972
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521873
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.658228
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80033
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.957859
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46468
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72357
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99732
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27199
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46989
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.67667
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92379
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2799
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69415
¿(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13937
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61906
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13731
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.56696
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.57402
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.5843
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.59782
(420.81, 14.24, 320.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.043985
