¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77845
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79855
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98139
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4427
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84051
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.26188
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7088
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 17.00505
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.45732
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.36788
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.34547
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.42382
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.54427
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.5328
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.47056
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.6165
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.57819
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.52837
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.677948
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.923081
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.187986
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.475143
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.787389
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136848
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521721
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.94626
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.416759
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.941082
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52888
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19232
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94694
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75399
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76886
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96293
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.54913
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99099
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.46113
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91956
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.94828
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.44293
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.35644
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.33404
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.41439
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.53469
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.52059
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.45843
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 24.46927
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 24.34278
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 24.2212
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.679119
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.924339
Ò(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.189334
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476613
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.789
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.136459
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.52132
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.945787
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.416233
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.940497
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5282
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19162
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93539
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74069
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73892
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87983
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59286
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03733
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.51044
(399.80, 14.10, 246.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01491
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.89763
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.43121
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.34745
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.32508
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.40733
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.52752
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.51088
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 16.44879
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 24.45447
(399.80, 14.10, 246.80) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 24.32814
